mass,xsec,unc
100,22670.1,973.967
125,10034.8,457.604
150,5180.86,253.223
175,2953.28,154.386
200,1807.39,101.316
225,1165.09,68.8042
250,782.487,48.7463
275,543.03,35.4083
300,386.936,26.3602
325,281.911,20.0201
350,209.439,15.4539
375,158.06,12.0956
400,121.013,9.61659
425,93.771,7.73547
450,73.4361,6.2389
475,58.0811,5.05005
500,46.3533,4.16461
525,37.2636,3.46763
550,30.1656,2.88065
575,24.5798,2.40183
600,20.1372,2.04438
625,16.5706,1.70195
650,13.7303,1.43519
675,11.3975,1.21937
700,9.51032,1.04092
725,7.9595,0.885243
750,6.69356,0.769988
775,5.63562,0.654544
800,4.75843,0.564061
825,4.02646,0.478362
850,3.42026,0.412315
875,2.90547,0.366257
900,2.49667,0.314019
925,2.12907,0.26801
950,1.8164,0.242682
975,1.56893,0.217618
1000,1.34352,0.175604
1025,1.15949,0.155683
1050,0.997903,0.133077
1075,0.86504,0.117638
1100,0.740372,0.107178
1125,0.647288,0.0917503
1150,0.555594,0.0828113
1175,0.486863,0.0644736
1200,0.415851,0.0579252
1225,0.362455,0.0561888
1250,0.316975,0.046491
1275,0.276522,0.0430197
1300,0.240739,0.0339561
1325,0.20999,0.0288259
1350,0.185601,0.0309793
1375,0.161343,0.0231066
1400,0.131074,0.0188826
1425,0.121045,0.0184156
1450,0.110889,0.0173553
1475,0.0906868,0.0153453
1500,0.0795585,0.0130098
1525,0.0694615,0.0116491
1550,0.0610387,0.0106867
1575,0.0531447,0.0100985
1600,0.0468796,0.00943991
1625,0.0413666,0.00870228
1650,0.0359383,0.0078127
1675,0.0313343,0.00724488
1700,0.0271773,0.00682548
1725,0.0239993,0.00575157
1750,0.0209773,0.00520821
1775,0.0183553,0.00474575
1800,0.0161098,0.00436762
1825,0.0139216,0.00392561
1850,0.0120539,0.00376256
1875,0.0104658,0.00347714
1900,0.00937288,0.00298646
1925,0.00814838,0.0027116
1950,0.00713734,0.00244379
1975,0.00621999,0.00223617
2000,0.00544778,0.00207163
