#The following cross sections are for slepton-slepton pair production (left plus right sleptons).
mass,xsec,rel_uncert_down(%),rel_uncert_up(%)
50,5.368,-3.9,2.2
80,0.8014,-2.1,1.7
100,0.3657,-1.8,1.7
120,0.1928,-1.7,1.7
125,0.1669,-1.7,1.7
140,0.1116,-1.7,1.7
150,0.08712,-1.7,1.7
160,0.06896,-1.8,1.8
175,0.04975,-1.9,1.9
180,0.04485,-1.9,1.9
200,0.03031,-2.0,2.0
220,0.02115,-2.0,2.1
225,0.01941,-2.0,2.1
240,0.01514,-2.0,2.1
250,0.01292,-2.0,2.1
260,0.01108,-2.0,2.2
275,0.008875,-2.0,2.2
280,0.008259,-2.1,2.2
300,0.006254,-2.1,2.3
320,0.004802,-2.2,2.3
340,0.003732,-2.3,2.5
360,0.002931,-2.5,2.6
380,0.002325,-2.6,2.8
400,0.001859,-2.8,2.9
440,0.001216,-3.0,3.1
500,0.0006736,-3.2,3.3
600,0.0002763,-3.6,3.6
700,0.0001235,-3.8,3.8
800,5.863e-05,-4.2,4.2
900,2.918e-05,-4.6,4.6
1000,1.504e-05,-5.2,5.1


